rule_code,rule_name,domain,expense_category_code,rule_type,automation_level,severity,source_article,effective_from,review_status,is_active
COM-001,직접비는 과제 수행에 필요한 금액만 계상,COMMON,DIRECT,REQUIRE,MANUAL_REVIEW,WARNING,제21조제1항,2026-05-06,SOURCE_VERIFIED,True
COM-002,간접비는 여러 과제에 공통 소요되는 비용만 계상,COMMON,INDIRECT,REQUIRE,MANUAL_REVIEW,WARNING,제21조제2항,2026-05-06,SOURCE_VERIFIED,True
COM-003,자체규정의 국가R&D 적용금액 상향 금지,COMMON,ALL,LIMIT,MANUAL_REVIEW,ERROR,제21조제3항,2026-05-06,SOURCE_VERIFIED,True
COM-004,환급 가능한 관세·부가가치세 계상 금지,COMMON,ALL,DENY,AUTO,ERROR,제21조제4항제1호,2026-05-06,SOURCE_VERIFIED,True
COM-005,주류 등 유흥성 비용 계상 금지,COMMON,ALL,DENY,AUTO,ERROR,제21조제4항제2호,2026-05-06,SOURCE_VERIFIED,True
COM-006,동일 비용 2회 이상 중복계상 금지,COMMON,ALL,DENY,AUTO,ERROR,제21조제4항제3호가목,2026-05-06,SOURCE_VERIFIED,True
COM-007,동일 비용의 현금·현물 중복계상 금지,COMMON,ALL,DENY,AUTO,ERROR,제21조제4항제3호나목,2026-05-06,SOURCE_VERIFIED,True
COM-008,동일 비용의 직접비·간접비 중복계상 금지,COMMON,ALL,DENY,AUTO,ERROR,제21조제4항제3호다목,2026-05-06,SOURCE_VERIFIED,True
COM-009,동일 참여연구자의 인건비·학생인건비 동일기간 중복 금지,COMMON,ALL,DENY,SEMI_AUTO,ERROR,제21조제4항제4호,2026-05-06,SOURCE_VERIFIED,True
COM-010,기관 내부 및 수행기관 간 거래 원칙적 계상 제한,COMMON,ALL,DENY_WITH_EXCEPTIONS,MANUAL_REVIEW,ERROR,제21조제4항제5호,2026-05-06,SOURCE_VERIFIED,True
COM-011,인적·물적 구분이 불명확한 영리기관 계열사 거래 금지,COMMON,ALL,DENY,MANUAL_REVIEW,ERROR,제21조제4항제6호,2026-05-06,SOURCE_VERIFIED,True
COM-012,인정받지 않은 연구공간 임차료 계상 금지,COMMON,ALL,DENY,AUTO,ERROR,제21조제4항제7호,2026-05-06,SOURCE_VERIFIED,True
COM-013,연구개발비 사용 증명자료 구비,COMMON,ALL,EVIDENCE,AUTO,WARNING,제22조제2항,2026-05-06,SOURCE_VERIFIED,True
COM-014,시설·장비 및 연구재료 구매·검수 절차 준수,COMMON,ALL,REQUIRE,SEMI_AUTO,WARNING,제22조제3항,2026-05-06,SOURCE_VERIFIED,True
COM-015,연구개발기간 종료 전 사용 원칙,COMMON,ALL,DEADLINE,SEMI_AUTO,ERROR,제22조제4항,2026-05-06,SOURCE_VERIFIED,True
COM-016,직접비 결제수단 제한,COMMON,DIRECT,PAYMENT_METHOD,AUTO,ERROR,제22조제5항,2026-05-06,SOURCE_VERIFIED,True
EQP-001,보유·생산 후 자산등록 장비는 구입가로 계상,EQUIPMENT,DIRECT_EQUIPMENT,CALCULATION,SEMI_AUTO,ERROR,제23조제1항,2026-05-06,SOURCE_VERIFIED,True
EQP-002,원래계획에 없는 3천만원 이상 장비 신규 구입·임차 사전승인,EQUIPMENT,DIRECT_EQUIPMENT,APPROVAL,AUTO,ERROR,제73조제1항제5호가목,2026-05-06,SOURCE_VERIFIED,True
EQP-003,계획된 3천만원 이상 장비 변경 구입·임차 사전승인,EQUIPMENT,DIRECT_EQUIPMENT,APPROVAL,SEMI_AUTO,ERROR,제73조제1항제5호나목,2026-05-06,SOURCE_VERIFIED,True
EQP-004,계획된 3천만원 이상 장비 미구입·미임차 사전승인,EQUIPMENT,DIRECT_EQUIPMENT,APPROVAL,SEMI_AUTO,ERROR,제73조제1항제5호다목,2026-05-06,SOURCE_VERIFIED,True
EQP-005,장비구축 목적 과제의 설치장소 변경 사전승인,EQUIPMENT,DIRECT_EQUIPMENT,APPROVAL,AUTO,ERROR,제73조제1항제5호라목,2026-05-06,SOURCE_VERIFIED,True
EQP-006,1억원 이상 장비 표준지침 적용,EQUIPMENT,DIRECT_EQUIPMENT,REQUIRE,AUTO,WARNING,제23조제3항,2026-05-06,SOURCE_VERIFIED,True
EQP-007,3천만원 이상 또는 공동활용 가능 장비 ZEUS 공동활용 확인,EQUIPMENT,DIRECT_EQUIPMENT,REQUIRE,AUTO,WARNING,제23조제4항,2026-05-06,SOURCE_VERIFIED,True
EQP-008,일반 장비는 종료 2개월 전까지 완료,EQUIPMENT,DIRECT_EQUIPMENT,DEADLINE,AUTO,ERROR,제23조제6항제4호,2026-05-06,SOURCE_VERIFIED,True
EQP-009,재난 등 인정 시 장비는 종료 1개월 전까지 완료,EQUIPMENT,DIRECT_EQUIPMENT,DEADLINE,AUTO,ERROR,제23조제6항제3호,2026-05-06,SOURCE_VERIFIED,True
EQP-010,장비구축 목적 또는 법률설립기관 기본사업은 종료일까지 완료,EQUIPMENT,DIRECT_EQUIPMENT,DEADLINE,AUTO,ERROR,제23조제6항제1호·제2호,2026-05-06,SOURCE_VERIFIED,True
ACT-001,지식재산 출원·등록·유지비는 직접비 지식재산 창출 활동비에서 제외,ACTIVITY,ACTIVITY_IP,CLASSIFICATION,AUTO,ERROR,제25조제1항,2026-05-06,SOURCE_VERIFIED,True
ACT-002,외부 전문기술 활용비 직접비 40% 한도,ACTIVITY,ACTIVITY_EXTERNAL_TECH,LIMIT,AUTO,ERROR,제25조제2항,2026-05-06,SOURCE_VERIFIED,True
ACT-003,기술도입비는 자체규정에 따라 실제 필요금액 계상,ACTIVITY,ACTIVITY_EXTERNAL_TECH,REQUIRE,MANUAL_REVIEW,WARNING,제25조제2항제1호,2026-05-06,SOURCE_VERIFIED,True
ACT-004,전문가활용비 자체규정 또는 실제 필요금액 적용,ACTIVITY,ACTIVITY_EXTERNAL_TECH,REQUIRE,MANUAL_REVIEW,WARNING,제25조제2항제2호,2026-05-06,SOURCE_VERIFIED,True
ACT-005,연구개발서비스 활용비 자체규정 적용,ACTIVITY,ACTIVITY_EXTERNAL_TECH,REQUIRE,MANUAL_REVIEW,WARNING,제25조제2항제3호,2026-05-06,SOURCE_VERIFIED,True
ACT-006,참여연구자만 참석한 회의의 식비 계상 금지,ACTIVITY,ACTIVITY_MEETING,DENY,AUTO,ERROR,제25조제4항,2026-05-06,SOURCE_VERIFIED,True
ACT-007,10만원 초과 회의비 기본 증빙,ACTIVITY,ACTIVITY_MEETING,EVIDENCE,AUTO,WARNING,제25조제5항,2026-05-06,SOURCE_VERIFIED,True
ACT-008,10만원 이하 회의비 간소화 증빙,ACTIVITY,ACTIVITY_MEETING,EVIDENCE,AUTO,WARNING,제25조제5항 단서,2026-05-06,SOURCE_VERIFIED,True
