profile_code,category_code,display_name,usage_summary,allowed_items_text,allowed_item_count,limit_display_type,limit_text,limit_detail_text,formula_expression,institution_scope,over_limit_action,source_articles,effective_from,display_order,is_active
LEGAL_INDIRECT,INDIRECT,간접비,간접비으로 사용할 수 있는 지침상 세부 항목입니다.,하위 세부 비목에서 사용 가능 항목을 확인합니다.,0,INSTITUTION_FORMULA,기관 유형별 간접비비율,"영리기관은 수정직접비의 10%, 비영리기관은 기관별 고시비율 등을 적용합니다.",modified_direct_cost * 0.10,ALL_OR_RULE_SPECIFIC,NOT_ALLOWED,"[""제5조제2항·제63조·제114조""]",2026-05-06,20,True
LEGAL_DIRECT_LABOR,DIRECT_LABOR,인건비,인건비으로 사용할 수 있는 지침상 세부 항목입니다.,"참여연구자 급여, 연구근접지원인력 급여, 참여연구자 4대보험 기관부담금, 참여연구자 퇴직급여충당금, 연구근접지원인력 4대보험 기관부담금, 연구근접지원인력 퇴직급여충당금, 영리기관 기존 참여연구자 현금 인건비, 중소·중견기업 신규채용 참여연구자 현금 인건비",8,NO_FIXED_CAP,별도 정률 총액상한 없음,월 급여와 인건비계상률 및 기관 유형별 현금계상 조건을 적용합니다.,,ALL_OR_RULE_SPECIFIC,CHECK_ALL_APPLICABLE_RULES,"[""제6조·제65조""]",2026-05-06,100,True
LEGAL_DIRECT_STUDENT_LABOR,DIRECT_STUDENT_LABOR,학생인건비,학생인건비으로 사용할 수 있는 지침상 세부 항목입니다.,"학생연구자 인건비, 학·연 협동과정 학생연구자 인건비, 외국대학 학생연구자 인건비, 6개월 이상 연수프로그램 학생연구자 인건비, 학생연구자 4대보험 기관부담금, 학생연구자 퇴직급여충당금",6,NO_FIXED_CAP,별도 정률 총액상한 없음,대상 기관과 학생연구자 자격 및 학생인건비 계상기준을 적용합니다.,,ALL_OR_RULE_SPECIFIC,CHECK_ALL_APPLICABLE_RULES,"[""제7조""]",2026-05-06,110,True
LEGAL_DIRECT_EQUIPMENT,DIRECT_EQUIPMENT,연구시설·장비비,연구시설·장비비으로 사용할 수 있는 지침상 세부 항목입니다.,"연구시설·장비 구입비, 연구시설·장비 설치비, 장비 구입·설치 부대비용, 연구시설·장비 성능향상비, 연구시설·장비 임차비, 연구시설·장비 유지·보수비, 연구시설·장비 운영비, 연구시설·장비 이전 설치비, 연구인프라 부지·시설 매입·임차·조성비, 연구인프라 설계·건축·감리비, 연구인프라 장비 구입·설비비, 연구인프라 종합사업관리비",12,PROCEDURE_BASED,별도 총액상한 없음,3천만원·1억원 절차기준과 원래계획 여부에 따른 사전승인 기준을 적용합니다.,,ALL_OR_RULE_SPECIFIC,CHECK_ALL_APPLICABLE_RULES,"[""제8조·제23조""]",2026-05-06,120,True
LEGAL_DIRECT_MATERIAL,DIRECT_MATERIAL,연구재료비,연구재료비으로 사용할 수 있는 지침상 세부 항목입니다.,"시약·재료 구입비, 연구재료 구입 부대비용, 연구개발과제 관리시스템 운영비, 시험제품·시험설비 자체 제작비, 시험제품·시험설비 외부 제작비",5,NO_FIXED_CAP,별도 정률 총액상한 없음,"과제 직접 관련성, 구매·검수 및 기관별 현금·현물 기준을 적용합니다.",,ALL_OR_RULE_SPECIFIC,CHECK_ALL_APPLICABLE_RULES,"[""제9조·제24조""]",2026-05-06,130,True
LEGAL_DIRECT_ACTIVITY,DIRECT_ACTIVITY,연구활동비,연구활동비으로 사용할 수 있는 지침상 세부 항목입니다.,하위 세부 비목에서 사용 가능 항목을 확인합니다.,0,CHILD_RULES,세부 항목별 기준 적용,연구활동비의 11개 세부 사용용도와 각 제한을 적용합니다.,,ALL_OR_RULE_SPECIFIC,CHECK_ALL_APPLICABLE_RULES,"[""제10조·제25조""]",2026-05-06,140,True
LEGAL_ACTIVITY_IP,ACTIVITY_IP,지식재산 창출 활동비,지식재산 창출 활동비으로 사용할 수 있는 지침상 세부 항목입니다.,"기술정보 조사·분석비, 특허정보 조사·분석비, 표준정보 조사·분석비, 원천·핵심특허 확보전략 수립비",4,NO_FIXED_CAP,별도 정률 총액상한 없음,지식재산 창출 활동에 한하며 출원·등록·유지 비용과 구분합니다.,,ALL_OR_RULE_SPECIFIC,CHECK_ALL_APPLICABLE_RULES,"[""제10조제1호·제25조제1항""]",2026-05-06,141,True
LEGAL_ACTIVITY_EXTERNAL_TECH,ACTIVITY_EXTERNAL_TECH,외부 전문기술 활용비,외부 전문기술 활용비으로 사용할 수 있는 지침상 세부 항목입니다.,"기술도입비, 전문가 자문료, 외부 전문가 강사료, 외부 전문가 원고료, 그 밖의 전문가 활용비, 연구개발서비스 활용비, 국외기관·외국인 전문기술 활용비",7,FORMULA,직접비의 40% 이내,중앙행정기관 인정 시 40%를 초과할 수 있습니다.,,ALL_OR_RULE_SPECIFIC,CHECK_ALL_APPLICABLE_RULES,"[""제10조제2호·제25조제2항""]",2026-05-06,142,True
LEGAL_ACTIVITY_MEETING,ACTIVITY_MEETING,회의비,회의비으로 사용할 수 있는 지침상 세부 항목입니다.,"회의장 임차료, 속기료, 통역료, 회의·세미나 개최비, 회의 식비",5,CONDITION_BASED,별도 정률 총액상한 없음,내부 참여연구자만 참석하는 회의의 식비 제한과 증빙기준을 적용합니다.,,ALL_OR_RULE_SPECIFIC,FULL_EVIDENCE_REQUIRED,"[""제10조제3호·제25조제4항·제5항""]",2026-05-06,143,True
LEGAL_ACTIVITY_TRAVEL,ACTIVITY_TRAVEL,출장비,출장비으로 사용할 수 있는 지침상 세부 항목입니다.,"국내출장 교통비, 국내출장 숙박비, 국내출장 식비·일비, 국외출장 교통비, 국외출장 숙박비, 국외출장 식비·일비, 파견 관련 지원비, 전보 관련 지원비, 파견·전보 주거지원비",9,POLICY_BASED,기관 여비규정 기준,기관 자체규정 또는 공무원 여비규정을 적용하고 제공 식대는 차감합니다.,,ALL_OR_RULE_SPECIFIC,CHECK_ALL_APPLICABLE_RULES,"[""제10조제4호·제25조제6항부터제8항""]",2026-05-06,144,True
LEGAL_ACTIVITY_SOFTWARE,ACTIVITY_SOFTWARE,소프트웨어 활용비,소프트웨어 활용비으로 사용할 수 있는 지침상 세부 항목입니다.,"소프트웨어 구입비, 소프트웨어 설치비, 소프트웨어 임차비, 소프트웨어 사용권·구독료, 데이터베이스 이용료, 네트워크 이용료",6,DEADLINE_BASED,별도 정률 총액상한 없음,일반 과제는 종료 2개월 전까지 사용계약 체결이 원칙입니다.,software_purchase_price * 0.20,ALL_OR_RULE_SPECIFIC,NOT_ALLOWED,"[""제10조제5호·제25조제9항·제10항""]",2026-05-06,145,True
