applicability_code,category_code,institution_scope,condition_summary,result,source_article,effective_from,is_active
APP_STUDENT_ELIGIBLE_INSTITUTION,DIRECT_STUDENT_LABOR,ELIGIBLE_INSTITUTION,대학 등 고시에서 정한 기관과 학생연구자에 한해 적용,CONDITIONAL_AVAILABLE,제7조,2026-05-06,True
APP_EXISTING_LABOR_CASH,DIRECT_LABOR,FOR_PROFIT,기존 인력 현금 인건비는 인정 또는 별도 허용요건 필요,RECOGNITION_REQUIRED,제65조제4항,2026-05-06,True
APP_NEW_HIRE_LABOR_CASH,DIRECT_LABOR,SME_OR_MID_SIZED,신규채용 참여연구자 현금 인건비 허용,AVAILABLE_IF_CONDITIONS_MET,제65조제4항제1호,2026-05-06,True
APP_LAB_OPERATION_FOR_PROFIT,ACTIVITY_LAB_OPERATION,FOR_PROFIT,원래계획과 활용·관리계획 범위. 소모성 비용 제외,PLAN_BASED,제68조제4항·제5항,2026-05-06,True
APP_RND_CONTRIBUTION,DIRECT_RND_CONTRIBUTION,GOV_FUNDED_OR_DIRECTLY_ESTABLISHED,정부출연기관 등 고시상 적용 대상 기관만 사용,INSTITUTION_SPECIFIC,제14조·제29조,2026-05-06,True
APP_INDIRECT_FOR_PROFIT,INDIRECT,FOR_PROFIT,수정직접비의 10% 이내,LIMIT_APPLIES,제63조·제114조제4항,2026-05-06,True
APP_INDIRECT_NONPROFIT,INDIRECT,NON_PROFIT,기관별 간접비고시비율 또는 해당 적용기준,INSTITUTION_RATE_APPLIES,제114조,2026-05-06,True
APP_INNOVATION_EFFECTIVE,DIRECT_INNOVATION,ALL,2026년 6월 11일부터 시행,DATE_CONDITIONAL,제10조의2·제25조의2,2026-06-11,True
APP_FOREIGN_RESEARCHER,ACTIVITY_FOREIGN_RESEARCHER,ALL,거주·참여·친족·자체절차 요건 및 인정 필요,RECOGNITION_REQUIRED,제25조제15항,2026-05-06,True
APP_INTERNATIONAL,DIRECT_INTERNATIONAL,ALL,협약과 중앙행정기관 승인·인정 필요,APPROVAL_REQUIRED,제13조·제28조,2026-05-06,True
